counter,phone_counter,userID,isLock,timestamp
55307,127,peppapig,1,1570023693
55308,128,peppapig,0,1570023708
55309,129,peppapig,1,1570023781
55310,130,peppapig,1,1570023968
55311,131,peppapig,0,1570025433
55312,132,peppapig,1,1570025463
55313,133,peppapig,0,1570025479
55314,134,peppapig,1,1570025499
55344,135,peppapig,0,1570027013
55345,136,peppapig,1,1570027054
55346,137,peppapig,0,1570027261
55347,138,peppapig,1,1570027284
55348,139,peppapig,0,1570027327
55349,140,peppapig,1,1570027334
55350,141,peppapig,0,1570027355
55351,142,peppapig,1,1570027386
55352,143,peppapig,0,1570027399
55353,144,peppapig,1,1570027446
55354,145,peppapig,0,1570027462
55355,146,peppapig,1,1570027471
55356,147,peppapig,0,1570027717
55357,148,peppapig,1,1570027737
55358,149,peppapig,0,1570027791
55359,150,peppapig,1,1570027813
55360,151,peppapig,1,1570028284
55361,152,peppapig,0,1570028352
55362,153,peppapig,1,1570028358
55363,154,peppapig,0,1570028407
55364,155,peppapig,1,1570028856
55365,156,peppapig,0,1570028986
55366,157,peppapig,1,1570029229
55367,158,peppapig,0,1570029688
55368,159,peppapig,1,1570029721
55380,160,peppapig,1,1570031036
55381,161,peppapig,1,1570031192
55382,162,peppapig,1,1570031258
55383,163,peppapig,0,1570031366
55384,164,peppapig,1,1570031388
55385,165,peppapig,0,1570032630
55386,166,peppapig,1,1570032710
55394,167,peppapig,1,1570034134
55395,168,peppapig,0,1570035289
55396,169,peppapig,1,1570035329
55397,170,peppapig,1,1570035773
55398,171,peppapig,1,1570035976
55416,172,peppapig,0,1570038683
55417,173,peppapig,1,1570038687
55418,174,peppapig,1,1570039265
55419,175,peppapig,0,1570041271
55420,176,peppapig,1,1570041293
55421,177,peppapig,0,1570041322
55422,178,peppapig,1,1570041349
55423,179,peppapig,1,1570041373
55439,180,peppapig,1,1570042623
55440,181,peppapig,0,1570045542
55471,182,peppapig,1,1570046553
55472,183,peppapig,0,1570047342
55473,184,peppapig,1,1570048010
55474,185,peppapig,0,1570048162
55475,186,peppapig,1,1570048178
55476,187,peppapig,1,1570048197
55477,188,peppapig,1,1570048214
55478,189,peppapig,1,1570048227
55479,190,peppapig,1,1570048245
55480,191,peppapig,1,1570048293
55481,192,peppapig,1,1570048390
55482,193,peppapig,1,1570048699
55509,194,peppapig,1,1570053906
55510,195,peppapig,1,1570068388
55511,196,peppapig,0,1570068395
55512,197,peppapig,1,1570068403
55513,198,peppapig,1,1570075213
55514,199,peppapig,0,1570075521
55515,200,peppapig,1,1570079156
55516,201,peppapig,1,1570079221
55517,202,peppapig,1,1570079467
55518,203,peppapig,1,1570079487
55520,204,peppapig,0,1570083852
55521,205,peppapig,1,1570084005
55522,206,peppapig,0,1570084169
55523,207,peppapig,1,1570084335
55524,208,peppapig,0,1570084388
55525,209,peppapig,1,1570084398
55526,210,peppapig,0,1570084427
55527,211,peppapig,1,1570084433
55528,212,peppapig,1,1570084583
55529,213,peppapig,1,1570084653
55530,214,peppapig,1,1570084762
55531,215,peppapig,0,1570084852
55532,216,peppapig,1,1570085017
55533,217,peppapig,0,1570085192
55534,218,peppapig,1,1570085320
55535,219,peppapig,0,1570085527
55536,220,peppapig,1,1570085808
55537,221,peppapig,0,1570086011
55538,222,peppapig,1,1570086016
55552,223,peppapig,0,1570086208
55553,224,peppapig,1,1570086218
55554,225,peppapig,0,1570086717
55555,226,peppapig,1,1570086742
55556,227,peppapig,0,1570086743
55557,228,peppapig,1,1570086833
55589,229,peppapig,1,1570094173
55590,230,peppapig,1,1570094578
55591,231,peppapig,0,1570094929
55592,232,peppapig,1,1570095087
55593,233,peppapig,0,1570095107
55594,234,peppapig,1,1570095114
55595,235,peppapig,0,1570095144
55596,236,peppapig,1,1570095167
55597,237,peppapig,0,1570095718
55598,238,peppapig,1,1570096134
55599,239,peppapig,0,1570096199
55600,240,peppapig,1,1570097223
55601,241,peppapig,0,1570097242
55602,242,peppapig,1,1570097254
